querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_08_TRC_O_A_Oscillatoriales_45_117.fa,2591490,350087,0.34277412,0.45101237,0.864909,7560343,5745940,0.45101236699304204,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_09_SFU_O_A_Oscillatoriales_45_144.fa,2598230,350421,0.3592009,0.45218536,0.8651309,7233362,5745940,0.4521853691476068,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_10_PVI_O_A_Oscillatoriales_46_64.fa,2517501,352479,0.3331885,0.43813562,0.8599885,7555786,5745940,0.4381356227179539,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_11_PCY_U_A_Oscillatoriales_46_44.fa,2517158,352637,0.33012974,0.43807593,0.8599067,7624754,5745940,0.4380759283946578,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_12_PCY_D_A_Oscillatoriales_46_131.fa,2514416,352204,0.3307004,0.43759874,0.8599261,7603305,5745940,0.4375987218801449,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_13_LAR_U_A_Oscillatoriales_45_90.fa,2594873,351594,0.34252173,0.45160112,0.86450434,7575791,5745940,0.45160113053738815,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_14_LAR_D_A_Oscillatoriales_45_71.fa,2596969,351703,0.3423047,0.4519659,0.86457175,7586717,5745940,0.45196590984242785,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_15_JOR_U_A_Oscillatoriales_45_73.fa,2567175,346997,0.33569744,0.44678068,0.8648331,7647288,5745940,0.44678068340428195,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_16_JOR_D_A_Oscillatoriales_45_142.fa,2602582,351518,0.3538944,0.45294276,0.8649349,7354120,5745940,0.45294277350616263,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_17_BER_D_A_Oscillatoriales_45_133.fa,2538133,345191,0.3333807,0.44172633,0.86399806,7613317,5745940,0.44172633198397476,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_18_LLB_O_A_Oscillatoriales_45_52.fa,2626174,353556,0.34896767,0.45704862,0.8653722,7525551,5745940,0.4570486291189953,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_19_SFW_U_A_Oscillatoriales_45_100.fa,2575339,349640,0.33950254,0.4482015,0.86423534,7585625,5745940,0.44820151272028597,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_20_SFW_D_A_Oscillatoriales_45_54.fa,2608528,353006,0.34352267,0.45397758,0.86467236,7593467,5745940,0.45397759113391367,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_21_RUC_O_A_Oscillatoriales_46_74.fa,2502579,350598,0.3326549,0.43553865,0.8599053,7523049,5745940,0.4355386586006815,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_22_RUC_O_B_Oscillatoriales_46_93.fa,2501358,350286,0.33335075,0.43532616,0.8599617,7503682,5745940,0.43532616073262165,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_24_DOB_U_A_Oscillatoriales_45_109.fa,2599836,350618,0.34853038,0.45246488,0.8651384,7459424,5745940,0.45246487084793785,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_25_DOB_D_A_Oscillatoriales_45_118.fa,2599065,350715,0.34811363,0.45233068,0.8650611,7466140,5745940,0.4523306891474676,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_26_ELK_O_A_Oscillatoriales_45_70.fa,2601966,352543,0.33627576,0.45283556,0.864509,7737596,5745940,0.4528355673745288,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_27_LUM_O_A_Oscillatoriales_46_37.fa,2510409,351585,0.33506864,0.43690136,0.8599491,7492223,5745940,0.4369013599167412,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_28_MFU_U_A_Oscillatoriales_45_48.fa,2586799,349985,0.34220088,0.45019597,0.8647034,7559300,5745940,0.45019596445490206,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_29_MFU_D_A_Oscillatoriales_45_141.fa,2607914,352560,0.3413707,0.45387074,0.8648115,7639537,5745940,0.45387073307413583,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_30_WIL_O_A_Oscillatoriales_45_52.fa,2596093,351465,0.3309946,0.45181346,0.8646177,7843309,5745940,0.45181345436952003,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_31_RDM_U_A_Oscillatoriales_45_70.fa,2629651,353765,0.34942505,0.45765376,0.86547077,7525651,5745940,0.45765375204057124,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_32_RDM_D_A_Oscillatoriales_45_69.fa,2624961,353422,0.34871617,0.45683753,0.86536103,7527500,5745940,0.45683752353835927,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_33_LGB_O_A_Oscillatoriales_45_77.fa,2599049,350474,0.35907832,0.4523279,0.86515296,7238112,5745940,0.45232790457261995,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_34_RAT_O_A_Oscillatoriales_45_70.fa,2608270,351785,0.34926516,0.4539327,0.8651271,7467879,5745940,0.45393268986449564,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_35_SFW_U_B_Oscillatoriales_45_107.fa,2604389,352211,0.34303063,0.45325726,0.86476254,7592293,5745940,0.453257256428017,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_36_ELK_O_B_Oscillatoriales_45_119.fa,2603359,352287,0.33622527,0.453078,0.8646798,7742901,5745940,0.45307799942220073,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_37_MFU_D_B_Oscillatoriales_45_91.fa,2606952,352611,0.34368095,0.4537033,0.86474204,7585384,5745940,0.453703310511422,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_38_RDM_U_B_Oscillatoriales_45_76.fa,2626272,353447,0.34834373,0.45706567,0.86541873,7539312,5745940,0.4570656846399371,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_39_LGB_O_B_Oscillatoriales_45_65.fa,2596770,350258,0.3590268,0.45193127,0.86511785,7232803,5745940,0.45193127669276045,1
PH2015_01D_Oscillatoriales_44_513.fa,PH2017_40_RAT_O_B_Oscillatoriales_45_128.fa,2614933,352649,0.34734282,0.45509228,0.8651403,7528392,5745940,0.4550922912526062,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_01D_Oscillatoriales_44_513.fa,1905713,265773,0.33166254,0.37384528,0.86053884,5745940,5097598,0.37384528948732326,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_01D_Oscillatoriales_46_31.fa,5096838,0,0.9998509,0.9998509,1.0,5097598,5097598,0.999850910173772,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_01U_Oscillatoriales_44_212.fa,1928826,269504,0.31968126,0.37837937,0.8602756,6033591,5097598,0.3783793857420691,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_01U_Oscillatoriales_45_14.fa,4988694,34561,0.70475495,0.9786362,0.99307215,7078622,5097598,0.9786362125848291,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_02D_Oscillatoriales_45_1038.fa,4469953,68619,0.7417496,0.8768744,0.9846488,6026229,5097598,0.8768743631804626,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_02U_Oscillatoriales_45_393.fa,5035701,61673,0.6813367,0.98785764,0.98775285,7390914,5097598,0.9878576145078525,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_03D_Oscillatoriales_45_235.fa,4834643,64333,0.6715679,0.9484159,0.9866933,7199038,5097598,0.9484159009792456,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_03U_Oscillatoriales_45_708.fa,4723374,57558,0.70060897,0.9265882,0.98781425,6741812,5097598,0.9265881695653522,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_04D_Oscillatoriales_45_965.fa,4799375,63481,0.68372554,0.9414973,0.9867731,7019447,5097598,0.9414973483589723,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_04U_Oscillatoriales_45_1042.fa,4535348,59011,0.7205245,0.889703,0.98698866,6294509,5097598,0.8897029542149067,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_05S_Oscillatoriales_45_1152.fa,4980259,46617,0.7087307,0.9769815,0.9906396,7027012,5097598,0.9769815116845227,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_06S_Oscillatoriales_45_83.fa,2061557,240572,0.3248792,0.40441734,0.88330567,6345611,5097598,0.4044173353803105,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_06S_Oscillatoriales_46_2585.fa,3787817,329479,0.5791834,0.74305916,0.91301614,6539927,5097598,0.7430591819912045,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_07D_Oscillatoriales_45_11.fa,1552148,219762,0.30222332,0.30448616,0.8584143,5135765,5097598,0.3044861521053641,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_07D_Oscillatoriales_46_1245.fa,3885013,288791,0.562059,0.7621262,0.9256654,6912109,5097598,0.7621262013991688,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_07U_Oscillatoriales_46_236.fa,4023770,276260,0.55133325,0.7893463,0.931343,7298254,5097598,0.7893462764227387,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_08D_Oscillatoriales_45_74.fa,1989217,252172,0.31934318,0.39022633,0.8732305,6229089,5097598,0.3902263379732964,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_08D_Oscillatoriales_46_1646.fa,3909717,311545,0.56501853,0.7669724,0.9203152,6919626,5097598,0.7669724054348734,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_08U_Oscillatoriales_46_180.fa,4043290,278646,0.5561321,0.7931755,0.93108433,7270377,5097598,0.7931755309069095,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_09S_Oscillatoriales_45_247.fa,5000248,50494,0.6849409,0.9809028,0.9899017,7300262,5097598,0.9809027702851422,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_10S_Oscillatoriales_46_199.fa,4485163,46559,0.7683851,0.87985814,0.9896193,5837129,5097598,0.8798581214132617,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_11S_Oscillatoriales_45_847.fa,4927791,51476,0.70094454,0.9666888,0.9895539,7030215,5097598,0.9666888208917219,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_12D_Oscillatoriales_45_607.fa,4950090,54409,0.6981356,0.97106326,0.9890085,7090442,5097598,0.9710632340957447,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_12U_Oscillatoriales_45_315.fa,5048775,52964,0.676671,0.99042237,0.9895095,7461196,5097598,0.9904223518606214,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_13D_Oscillatoriales_45_19.fa,1823018,255890,0.30850285,0.35762295,0.85963386,5909242,5097598,0.35762294319795324,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_13U_Oscillatoriales_45_97.fa,1743566,247452,0.31424913,0.34203678,0.85807705,5548356,5097598,0.34203677889076384,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2015_14S_Oscillatoriales_45_132.fa,1747299,246849,0.30901724,0.3427691,0.85872537,5654374,5097598,0.3427690845766967,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_01_SCD_O_A_Oscillatoriales_45_88.fa,5052638,36590,0.66996753,0.9911802,0.9927582,7541616,5097598,0.9911801597536722,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_02_FOX_O_A_Oscillatoriales_45_86.fa,4996384,51152,0.6654771,0.98014474,0.9897622,7507973,5097598,0.9801447662212673,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_03_ELD_O_A_s25_Oscillatoriales_46_20.fa,4853117,41056,0.74243295,0.95203996,0.99154025,6536775,5097598,0.9520399607815289,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_04_SCI_O_A_s25_Oscillatoriales_45_22.fa,4868360,42711,0.7564905,0.9550302,0.9912268,6435454,5097598,0.9550301926515194,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_05_CCC_O_A_Oscillatoriales_45_72.fa,4941393,59067,0.6413551,0.96935713,0.98804647,7704613,5097598,0.9693571364395545,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_06_SFM_O_A_s25_Oscillatoriales_45_22.fa,4921855,49341,0.71739817,0.9655244,0.9899751,6860702,5097598,0.965524350880552,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_07_MST_O_A_s25_Oscillatoriales_45_20.fa,4938310,49351,0.6814736,0.9687523,0.9900065,7246517,5097598,0.9687523417892113,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_08_TRC_O_A_Oscillatoriales_45_117.fa,5021483,49606,0.6641872,0.98506844,0.99012125,7560343,5097598,0.9850684577324458,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_09_SFU_O_A_Oscillatoriales_45_144.fa,5000175,45297,0.6912657,0.9808884,0.9909409,7233362,5097598,0.9808884498149913,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_10_PVI_O_A_Oscillatoriales_46_64.fa,4062104,279493,0.537615,0.7968663,0.931195,7555786,5097598,0.7968662887893474,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_11_PCY_U_A_Oscillatoriales_46_44.fa,4062349,278905,0.5327843,0.79691434,0.9313439,7624754,5097598,0.7969143506412236,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_12_PCY_D_A_Oscillatoriales_46_131.fa,4060007,279490,0.53397924,0.7964549,0.9311602,7603305,5097598,0.7964549185714527,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_13_LAR_U_A_Oscillatoriales_45_90.fa,5023727,48396,0.66312903,0.9855087,0.9903665,7575791,5097598,0.9855086650614662,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_14_LAR_D_A_Oscillatoriales_45_71.fa,5025054,47564,0.6623489,0.985769,0.9905346,7586717,5097598,0.9857689837448932,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_15_JOR_U_A_Oscillatoriales_45_73.fa,5009200,48146,0.6550296,0.98265886,0.9903885,7647288,5097598,0.9826588915014484,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_16_JOR_D_A_Oscillatoriales_45_142.fa,5013483,51089,0.68172437,0.9834991,0.9898097,7354120,5097598,0.9834990911405724,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_17_BER_D_A_Oscillatoriales_45_133.fa,4993331,57332,0.655868,0.97954583,0.9885183,7613317,5097598,0.9795458566956438,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_18_LLB_O_A_Oscillatoriales_45_52.fa,5004207,51175,0.66496223,0.98167944,0.98977363,7525551,5097598,0.9816794105772955,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_19_SFW_U_A_Oscillatoriales_45_100.fa,5054569,43393,0.6663352,0.99155897,0.9914151,7585625,5097598,0.9915589656147856,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_20_SFW_D_A_Oscillatoriales_45_54.fa,5058019,38002,0.6661014,0.9922358,0.9924868,7593467,5097598,0.992235754957531,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_21_RUC_O_A_Oscillatoriales_46_74.fa,4087259,278645,0.5432982,0.80180097,0.93182594,7523049,5097598,0.8018009658666689,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_22_RUC_O_B_Oscillatoriales_46_93.fa,4087206,278476,0.5446934,0.8017906,0.9318664,7503682,5097598,0.8017905688129978,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_24_DOB_U_A_Oscillatoriales_45_109.fa,5021758,50216,0.6732099,0.9851224,0.9900003,7459424,5097598,0.9851224047090414,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_25_DOB_D_A_Oscillatoriales_45_118.fa,5022720,49767,0.6727332,0.98531115,0.9900916,7466140,5097598,0.9853111210417141,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_26_ELK_O_A_Oscillatoriales_45_70.fa,5028697,48138,0.6499043,0.98648363,0.9904273,7737596,5097598,0.9864836340566675,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_27_LUM_O_A_Oscillatoriales_46_37.fa,4051987,278675,0.5408257,0.79488164,0.9312251,7492223,5097598,0.7948816285630997,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_28_MFU_U_A_Oscillatoriales_45_48.fa,5003781,57643,0.66193706,0.9815958,0.9884801,7559300,5097598,0.9815958418062781,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_29_MFU_D_A_Oscillatoriales_45_141.fa,5027852,52195,0.6581357,0.9863179,0.98961884,7639537,5097598,0.9863178697104008,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_30_WIL_O_A_Oscillatoriales_45_52.fa,4990565,55597,0.6362831,0.97900325,0.9888596,7843309,5097598,0.9790032481965035,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_31_RDM_U_A_Oscillatoriales_45_70.fa,5024911,44794,0.6677045,0.98574096,0.9910856,7525651,5097598,0.9857409313170634,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_32_RDM_D_A_Oscillatoriales_45_69.fa,5023023,44925,0.6672897,0.9853706,0.9910562,7527500,5097598,0.9853705608013813,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_33_LGB_O_A_Oscillatoriales_45_77.fa,5018057,45608,0.6932826,0.9843964,0.99091125,7238112,5097598,0.984396376489476,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_34_RAT_O_A_Oscillatoriales_45_70.fa,4947919,53996,0.66256016,0.9706373,0.9890871,7467879,5097598,0.9706373472368751,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_35_SFW_U_B_Oscillatoriales_45_107.fa,5059471,38515,0.66639566,0.9925206,0.99238753,7592293,5097598,0.992520594993956,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_36_ELK_O_B_Oscillatoriales_45_119.fa,5037473,47717,0.65059245,0.98820525,0.9905276,7742901,5097598,0.9882052292079524,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_37_MFU_D_B_Oscillatoriales_45_91.fa,5028866,52263,0.66296786,0.9865168,0.9896074,7585384,5097598,0.9865167869259208,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_38_RDM_U_B_Oscillatoriales_45_76.fa,5038653,44891,0.6683174,0.9884367,0.99109066,7539312,5097598,0.9884367107802537,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_39_LGB_O_B_Oscillatoriales_45_65.fa,5000609,45294,0.69137913,0.9809736,0.9909423,7232803,5097598,0.9809735879526004,1
PH2015_01D_Oscillatoriales_46_31.fa,PH2017_40_RAT_O_B_Oscillatoriales_45_128.fa,4961060,54591,0.65898,0.9732152,0.9889961,7528392,5097598,0.9732152280348509,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_01D_Oscillatoriales_44_513.fa,5847602,17039,1.0176928,0.9691744,0.99708617,5745940,6033591,1.017692840509995,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_01D_Oscillatoriales_46_31.fa,1925877,268996,0.37780088,0.3191925,0.86032546,5097598,6033591,0.37780087798213985,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_01U_Oscillatoriales_44_212.fa,6033153,0,0.9999274,0.9999274,1.0,6033591,6033591,0.9999274064151846,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_01U_Oscillatoriales_45_14.fa,2526559,347597,0.35692808,0.4187488,0.86242276,7078622,6033591,0.41874880150146077,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_02D_Oscillatoriales_45_1038.fa,2201597,299836,0.36533576,0.36489,0.86380976,6026229,6033591,0.36533576802341894,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_02U_Oscillatoriales_45_393.fa,2572290,348457,0.34803408,0.4263282,0.8645343,7390914,6033591,0.4263282015635465,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_03D_Oscillatoriales_45_235.fa,2504631,338570,0.3479119,0.4151145,0.8648224,7199038,6033591,0.4151144815749029,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_03U_Oscillatoriales_45_708.fa,2411949,327321,0.35775974,0.39975348,0.8642919,6741812,6033591,0.3997534801414282,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_04D_Oscillatoriales_45_965.fa,2500849,338764,0.35627437,0.41448766,0.8645404,7019447,6033591,0.414487657516063,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_04U_Oscillatoriales_45_1042.fa,2303101,314118,0.3658905,0.38171315,0.86361086,6294509,6033591,0.381713145620908,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_05S_Oscillatoriales_45_1152.fa,2627908,353699,0.37397233,0.43554625,0.86540663,7027012,6033591,0.43554626092487875,1
PH2015_01U_Oscillatoriales_44_212.fa,PH2015_06S_Oscillatoriales_45_83.fa,3666139,408394,0.57774407,0.6076214,0.8886038,6345611,6033591,0.6076213982684607,1
