FID,long,lat,ggkbase_id,acronym,descriptio,year,us_ds,number,fork,DDLat,DDLon
38,-123.787430000000001,40.000345500000002,PH2017_11_PCY_U_A,PCY,South Fork Eel at Piercy upstream,2015 & 2017,Y,11,sf,40.00034049N,123.78741630W
39,-123.787430000000001,40.000345500000002,PH2017_12_PCY_D_A,PCY,South fork Eel at Piercy downstream,2015 & 2017,Y,12,sf,40.00034049N,123.78741630W
40,-123.786991000000000,40.000259999999997,PH2015_07D,PCY,Piercy Downstream,2015 & 2017,Y,7,sf,40.00025499N,123.78697730W
41,-123.793538999999996,39.999625000000002,PH2015_07U,PCY,Piercy Upstream,2015 & 2017,Y,7,sf,39.99961999N,123.79352530W
42,-123.788589999999999,40.205252199999997,PH2017_10_PVI_O_A,PVI,South Fork Eel at Phillipsville,2017,N,10,sf,40.20524718N,123.78857627W
43,-123.577510000000004,39.828557300000000,PH2017_34_RAT_O_A,RAT,Rattlesnake Creek #1,2017,N,34,cr,39.82855229N,123.57749635W
44,-123.577510000000004,39.828557300000000,PH2017_40_RAT_O_B,RAT,Rattlesnake Creek #2,2017,N,40,cr,39.82855229N,123.57749635W
45,-123.759289999999993,39.929341299999997,PH2017_31_RDM_U_A,RDM,Red Mountain Creek upstream #1,2017,Y,31,cr,39.92933630N,123.75927631W
46,-123.759289999999993,39.929341299999997,PH2017_32_RDM_D_A,RDM,Red Mountain Creek downstream,2017,Y,32,cr,39.92933630N,123.75927631W
47,-123.759289999999993,39.929341299999997,PH2017_38_RDM_U_B,RDM,Red Mountain Creek upstream #2,2017,Y,38,cr,39.92933630N,123.75927631W
48,-122.987849999999995,38.774032300000002,PH2017_21_RUC_O_A,RUC,Russian River Cloverdale airport #1,2017,N,21,rr,38.77402732N,122.98783658W
49,-122.987849999999995,38.774032300000002,PH2017_22_RUC_O_B,RUC,Russian River Cloverdale airport #2,2017,N,22,rr,38.77402732N,122.98783658W
50,-122.987849999999995,38.774032300000002,PH2017_23_RUC_A_A,RUC,Russian River Cloverdale airport Anabaena,2017,N,23,rr,38.77402732N,122.98783658W
51,-123.710329999999999,39.839582299999996,PH2017_01_SCD_O_A,SCD,South Fork Eel downstream of Cedar Creek confluence,2015 & 2017,Y,1,sf,39.83957730N,123.71031633W
52,-123.710164000000006,39.839711000000001,PH2015_02D,SCD,SF@Cedar Creek DS,2015 & 2017,Y,2,sf,39.83970600N,123.71015033W
53,-123.710093999999998,39.839582999999998,PH2015_02U,SCD,SF@Cedar Creek US,2015 & 2017,Y,2,sf,39.83957800N,123.71008033W
54,-123.653509999999997,39.718591400000001,PH2017_04_SCI_O_A,SCI,South Fork Eel at Angelo Science Center,2017,N,4,sf,39.71858640N,123.65349636W
55,-123.616209999999995,39.644510900000000,PH2017_06_SFM_O_A,SFM,South Fork Eel upstream of Mud Creek confluence,2017,N,6,sf,39.64450590N,123.61619637W
56,-123.772009999999995,40.186657799999999,PH2017_09_SFU_O_A,SFU,South Fork Eel downstream of Miranda USGS gauge,2017,N,9,sf,40.18665278N,123.77199628W
57,-123.632509999999996,39.740294200000001,PH2017_19_SFW_U_A,SFW,South Fork Eel upstream of Wilderness Pool at Angelo upstream #1,2017,Y,19,sf,39.74028920N,123.63249636W
58,-123.632509999999996,39.740294200000001,PH2017_20_SFW_D_A,SFW,South Fork Eel upstream of Wilderness Pool at Angelo downstream,2017,Y,20,sf,39.74028920N,123.63249636W
59,-123.632509999999996,39.740294200000001,PH2017_35_SFW_U_B,SFW,South Fork Eel upstream of Wilderness Pool at Angelo upstream #2,2017,Y,35,sf,39.74028920N,123.63249636W
60,-123.064859999999996,39.377043899999997,PH2017_08_TRC_O_A,TRC,Trout Creek upstream of Rd. 240,2017,N,8,cr,39.37703888N,123.06484649W
61,-123.135270000000006,39.820065900000003,PH2017_30_WIL_O_A,WIL,Williams Creek,2017,N,30,cr,39.82006085N,123.13525642W
