name1	name2	scaf_num	mean_popANI	mean_conANI	sum_pop_sites	sum_con_sites	frac_popSNPs	sd_popANI	sd_conANI	median_popANI	median_conANI	watershed_1	watershed_2	row_name	col_name	ani_dRep	ani99_dRep	SNV_mbp.1	pop_age.1	SNV_mbp.2	pop_age.2	pop_age_pair	riv_dist	euc_dist	mean_pi.1	median_pi.1	mean_pi.2	median_pi.2	pi_diff_mean	pi_avg_mean	pi_avg_median	watershed_diff
PH2015_01D	PH2015_11S	179	0.998443769	0.991769557	9917	53312	0.186018157	0.001237517	0.003255086	0.998634665	0.99207248	17	96	PH2015_01D_Oscillatoriales_46_31	PH2015_11S_Oscillatoriales_45_847	0.98770213	<0.99	5368.040191	Old	960.8379139	Young	Old-Young	184899.4376	51583.84504	0.003438769	0.002162882	5.43E-04	4.60E-04	0.002895716	0.001990912	0.001311209	79
PH2015_01D	PH2015_12D	180	0.998577053	0.991873989	9658	53939	0.179054117	0.001013869	0.002929359	0.998704643	0.992143084	17	160	PH2015_01D_Oscillatoriales_46_31	PH2015_12D_Oscillatoriales_45_607	0.9874791	<0.99	5368.040191	Old	573.3665219	Young	Old-Young	177560.9434	56224.41398	0.003438769	0.002162882	5.44E-04	5.03E-04	0.002894805	0.001991367	0.00133297	143
PH2015_01D	PH2015_12U	180	0.998576477	0.991886297	9663	53751	0.1797734	0.001013996	0.002986932	0.998704643	0.992159277	17	160	PH2015_01D_Oscillatoriales_46_31	PH2015_12U_Oscillatoriales_45_315	0.9876573	<0.99	5368.040191	Old	508.2295117	Young	Old-Young	177575.5139	56213.3125	0.003438769	0.002162882	4.54E-04	4.28E-04	0.002985034	0.001946252	0.001295334	143
PH2015_01D	PH2017_01_SCD_O_A	174	0.998436281	0.992372266	9298	46192	0.201290267	0.001697698	0.003824237	0.998799091	0.993007636	17	527	PH2015_01D_Oscillatoriales_46_31	PH2017_01_SCD_O_A_Oscillatoriales_45_88	0.9907711	0.99-0.995	5368.040191	Old	1291.750009	Young	Old-Young	26576.60869	13420.02103	0.003438769	0.002162882	9.69E-04	7.87E-04	0.002469459	0.00220404	0.001474874	510
PH2015_01D	PH2017_02_FOX_O_A	179	0.998179566	0.991452121	11651	55222	0.210984752	0.001477673	0.003447192	0.998494732	0.992109547	17	2.8	PH2015_01D_Oscillatoriales_46_31	PH2017_02_FOX_O_A_Oscillatoriales_45_86	0.98791414	<0.99	5368.040191	Old	2253.392084	Old	Old-Old	3153.066235	1823.052755	0.003438769	0.002162882	0.001173989	8.13E-04	0.002264781	0.002306379	0.001487895	14.2
PH2015_01D	PH2017_03_ELD_O_A	180	0.999818196	0.993299414	1154	43645	0.0264406	4.58E-04	0.003381079	0.999974046	0.993797884	17	17	PH2015_01D_Oscillatoriales_46_31	PH2017_03_ELD_O_A_s25_Oscillatoriales_46_20	0.98998785	<0.99	5368.040191	Old	7042.034548	Old	Old-Old	44.99186993	45.15204258	0.003438769	0.002162882	0.003333966	0.002007313	1.05E-04	0.003386368	0.002085097	0
PH2015_01D	PH2017_04_SCI_O_A	180	0.99983435	0.994198176	936	36700	0.025504087	3.70E-04	0.003699284	0.99996635	0.994825867	17	114	PH2015_01D_Oscillatoriales_46_31	PH2017_04_SCI_O_A_s25_Oscillatoriales_45_22	0.989596	<0.99	5368.040191	Old	6317.619856	Old	Old-Old	2281.998493	1279.663678	0.003438769	0.002162882	0.003184929	0.001728745	2.54E-04	0.003311849	0.001945813	97
PH2015_01D	PH2017_05_CCC_O_A	174	0.997872448	0.989481254	11497	63366	0.181437995	0.002413209	0.004894675	0.998489614	0.990569624	17	39	PH2015_01D_Oscillatoriales_46_31	PH2017_05_CCC_O_A_Oscillatoriales_45_72	0.9862871	<0.99	5368.040191	Old	4027.236384	Old	Old-Old	26481.01085	13336.43321	0.003438769	0.002162882	0.001857712	0.001021113	0.001581058	0.00264824	0.001591997	22
PH2015_01D	PH2017_06_SFM_O_A	178	0.99947633	0.992247532	2658	50078	0.0530772	0.001048183	0.003913983	0.999798327	0.99282591	17	40	PH2015_01D_Oscillatoriales_46_31	PH2017_06_SFM_O_A_s25_Oscillatoriales_45_22	0.98821306	<0.99	5368.040191	Old	6258.916131	Old	Old-Old	15219.95707	9747.453	0.003438769	0.002162882	0.002391344	0.001294336	0.001047425	0.002915057	0.001728609	23
PH2015_01D	PH2017_07_MST_O_A	175	0.999367251	0.990320457	3429	60435	0.056738645	9.46E-04	0.004516751	0.999640719	0.991483901	17	885	PH2015_01D_Oscillatoriales_46_31	PH2017_07_MST_O_A_s25_Oscillatoriales_45_20	0.98825115	<0.99	5368.040191	Old	8157.405328	Old	Old-Old	331130.9442	63693.8327	0.003438769	0.002162882	0.003186694	0.001918175	2.52E-04	0.003312732	0.002040528	868
PH2015_01D	PH2017_08_TRC_O_A	174	0.996949262	0.990230055	17546	58158	0.301695382	0.002457667	0.004570267	0.997367558	0.991055112	17	4.6	PH2015_01D_Oscillatoriales_46_31	PH2017_08_TRC_O_A_Oscillatoriales_45_117	0.9883268	<0.99	5368.040191	Old	1444.138446	Young	Old-Young	331517.5202	63490.97452	0.003438769	0.002162882	7.73E-04	5.48E-04	0.002665347	0.002106096	0.001355321	12.4
PH2015_01D	PH2017_09_SFU_O_A	172	0.997892542	0.991096107	12640	53962	0.234238909	0.001945732	0.00398531	0.998364562	0.991771653	17	1392	PH2015_01D_Oscillatoriales_46_31	PH2017_09_SFU_O_A_Oscillatoriales_45_144	0.98943204	<0.99	5368.040191	Old	1321.772005	Young	Old-Young	101778.6472	51924.55618	0.003438769	0.002162882	7.18E-04	5.35E-04	0.002720435	0.002078552	0.001349137	1375
PH2015_01D	PH2017_13_LAR_U_A	175	0.997268213	0.990569949	14380	55271	0.260172604	0.003180208	0.00496196	0.997939713	0.991562605	17	228	PH2015_01D_Oscillatoriales_46_31	PH2017_13_LAR_U_A_Oscillatoriales_45_90	0.9885821	<0.99	5368.040191	Old	1271.109886	Young	Old-Young	145708.8605	79384.34884	0.003438769	0.002162882	8.28E-04	6.38E-04	0.002610383	0.002133578	0.00140048	211
PH2015_01D	PH2017_14_LAR_D_A	174	0.997433312	0.990964936	13946	53824	0.259103746	0.002863971	0.004205151	0.997987811	0.991848796	17	228	PH2015_01D_Oscillatoriales_46_31	PH2017_14_LAR_D_A_Oscillatoriales_45_71	0.98838603	<0.99	5368.040191	Old	1127.433189	Young	Old-Young	145708.8605	79384.34884	0.003438769	0.002162882	9.86E-04	8.08E-04	0.002452601	0.002212469	0.001485293	211
PH2015_01D	PH2017_15_JOR_U_A	175	0.998193882	0.990779095	10829	55975	0.193461367	0.00157938	0.004321791	0.998426023	0.991758831	17	12.2	PH2015_01D_Oscillatoriales_46_31	PH2017_15_JOR_U_A_Oscillatoriales_45_73	0.9886378	<0.99	5368.040191	Old	1920.469587	Old	Old-Old	159451.2318	85872.42901	0.003438769	0.002162882	9.96E-04	6.14E-04	0.002443217	0.002217161	0.00138844	4.8
PH2015_01D	PH2017_16_JOR_D_A	179	0.998244122	0.991405579	11424	55882	0.204430765	0.001490807	0.003645971	0.998449073	0.992010952	17	12.2	PH2015_01D_Oscillatoriales_46_31	PH2017_16_JOR_D_A_Oscillatoriales_45_142	0.9884383	<0.99	5368.040191	Old	1165.764845	Young	Old-Young	159451.2318	85872.42901	0.003438769	0.002162882	6.74E-04	5.76E-04	0.002764439	0.00205655	0.001369635	4.8
PH2015_01D	PH2017_17_BER_D_A	176	0.99888328	0.990641495	7313	59885	0.122117392	0.001143714	0.004314335	0.999098077	0.991240778	17	22	PH2015_01D_Oscillatoriales_46_31	PH2017_17_BER_D_A_Oscillatoriales_45_133	0.9866436	<0.99	5368.040191	Old	4599.262638	Old	Old-Old	152390.1429	83125.10038	0.003438769	0.002162882	0.001668937	7.72E-04	0.001769832	0.002553853	0.001467458	5
PH2015_01D	PH2017_18_LLB_O_A	179	0.997865376	0.991552362	13810	54522	0.253292249	0.001701789	0.003535248	0.998177967	0.992079709	17	34.5	PH2015_01D_Oscillatoriales_46_31	PH2017_18_LLB_O_A_Oscillatoriales_45_52	0.98811036	<0.99	5368.040191	Old	1145.794856	Young	Old-Young	233207.9947	83982.58117	0.003438769	0.002162882	6.36E-04	5.04E-04	0.002803137	0.002037201	0.001333406	17.5
PH2015_01D	PH2017_19_SFW_U_A	180	0.999738757	0.993095056	1923	45050	0.042685905	4.19E-04	0.003282745	0.999891643	0.993471786	17	150	PH2015_01D_Oscillatoriales_46_31	PH2017_19_SFW_U_A_Oscillatoriales_45_100	0.98937315	<0.99	5368.040191	Old	4325.579974	Old	Old-Old	3113.508434	1770.943204	0.003438769	0.002162882	0.001324066	7.13E-04	0.002114703	0.002381418	0.001437972	133
PH2015_01D	PH2017_20_SFW_D_A	180	0.999270303	0.99317084	4710	43650	0.10790378	8.18E-04	0.00334845	0.999492246	0.993507974	17	150	PH2015_01D_Oscillatoriales_46_31	PH2017_20_SFW_D_A_Oscillatoriales_45_54	0.9907313	0.99-0.995	5368.040191	Old	1208.519385	Young	Old-Young	3113.508434	1770.943204	0.003438769	0.002162882	8.67E-04	6.72E-04	0.002572094	0.002152723	0.001417245	133
PH2015_01D	PH2017_24_DOB_U_A	179	0.998353705	0.991651672	10403	53631	0.193973635	0.00142607	0.003516201	0.998595934	0.992070175	17	96	PH2015_01D_Oscillatoriales_46_31	PH2017_24_DOB_U_A_Oscillatoriales_45_109	0.98872006	<0.99	5368.040191	Old	981.74609	Young	Old-Young	184905.1366	51594.07601	0.003438769	0.002162882	7.15E-04	6.35E-04	0.002724129	0.002076705	0.001398904	79
PH2015_01D	PH2017_25_DOB_D_A	179	0.998347462	0.991612358	10393	53656	0.193696884	0.001483091	0.003625957	0.998617435	0.992080033	17	96	PH2015_01D_Oscillatoriales_46_31	PH2017_25_DOB_D_A_Oscillatoriales_45_118	0.9885277	<0.99	5368.040191	Old	984.5606522	Young	Old-Young	184905.1366	51594.07601	0.003438769	0.002162882	7.26E-04	6.43E-04	0.002712827	0.002082356	0.001403071	79
PH2015_01D	PH2017_26_ELK_O_A	175	0.99727522	0.990596751	14173	54762	0.258810854	0.003270376	0.005210447	0.998076198	0.991763677	17	1590	PH2015_01D_Oscillatoriales_46_31	PH2017_26_ELK_O_A_Oscillatoriales_45_70	0.9889238	<0.99	5368.040191	Old	1321.101872	Young	Old-Young	118574.5984	63634.52188	0.003438769	0.002162882	8.63E-04	6.45E-04	0.002575578	0.00215098	0.001403785	1573
PH2015_01D	PH2017_28_MFU_U_A	173	0.996462961	0.989699315	21496	61933	0.347084753	0.002438574	0.004465959	0.996885744	0.990583456	17	531	PH2015_01D_Oscillatoriales_46_31	PH2017_28_MFU_U_A_Oscillatoriales_45_48	0.9868495	<0.99	5368.040191	Old	1231.97407	Young	Old-Young	318513.2704	50610.1435	0.003438769	0.002162882	7.35E-04	5.36E-04	0.00270399	0.002086775	0.001349368	514
PH2015_01D	PH2017_29_MFU_D_A	176	0.996892102	0.990072712	17756	59908	0.296387795	0.002713244	0.004523092	0.997454096	0.99082214	17	531	PH2015_01D_Oscillatoriales_46_31	PH2017_29_MFU_D_A_Oscillatoriales_45_141	0.9880486	<0.99	5368.040191	Old	1522.276053	Young	Old-Young	318513.2704	50610.1435	0.003438769	0.002162882	9.20E-04	6.77E-04	0.002518575	0.002179482	0.001420011	514
PH2015_01D	PH2017_30_WIL_O_A	174	0.996557947	0.989795118	20005	60934	0.328306036	0.002501243	0.004299175	0.99695752	0.990611872	17	80	PH2015_01D_Oscillatoriales_46_31	PH2017_30_WIL_O_A_Oscillatoriales_45_52	0.98683715	<0.99	5368.040191	Old	1286.254911	Young	Old-Young	312820.026	45000.72188	0.003438769	0.002162882	8.74E-04	6.63E-04	0.002564468	0.002156535	0.001412853	63
PH2015_01D	PH2017_31_RDM_U_A	179	0.997991038	0.991591373	12006	52175	0.230110206	0.00203747	0.004469811	0.998403066	0.992181643	17	31	PH2015_01D_Oscillatoriales_46_31	PH2017_31_RDM_U_A_Oscillatoriales_45_70	0.989414	<0.99	5368.040191	Old	1172.734237	Young	Old-Young	46896.44002	24229.33616	0.003438769	0.002162882	9.18E-04	7.70E-04	0.002521063	0.002178238	0.001466643	14
PH2015_01D	PH2017_32_RDM_D_A	179	0.997933104	0.99148192	12430	53061	0.234258683	0.002056683	0.00456385	0.9983505	0.992084202	17	31	PH2015_01D_Oscillatoriales_46_31	PH2017_32_RDM_D_A_Oscillatoriales_45_69	0.9892147	<0.99	5368.040191	Old	1247.253121	Young	Old-Young	46896.44002	24229.33616	0.003438769	0.002162882	6.45E-04	5.03E-04	0.002794162	0.002041688	0.001333131	14
PH2015_01D	PH2017_33_LGB_O_A	172	0.997977501	0.991300737	12178	52700	0.231081594	0.00184513	0.003897183	0.998377954	0.991897556	17	642	PH2015_01D_Oscillatoriales_46_31	PH2017_33_LGB_O_A_Oscillatoriales_45_77	0.9895349	<0.99	5368.040191	Old	1232.37615	Young	Old-Young	30459.02828	16345.90406	0.003438769	0.002162882	6.54E-04	4.80E-04	0.002784287	0.002046626	0.001321237	625
PH2015_01D	PH2017_34_RAT_O_A	177	0.998122342	0.99032259	11911	60059	0.19832165	0.001194478	0.003975772	0.998338615	0.991325639	17	50	PH2015_01D_Oscillatoriales_46_31	PH2017_34_RAT_O_A_Oscillatoriales_45_70	0.9876717	<0.99	5368.040191	Old	2525.868507	Old	Old-Old	27521.50086	12559.05694	0.003438769	0.002162882	0.001515282	8.71E-04	0.001923488	0.002477026	0.001516828	33
PH2015_01D	PH2017_35_SFW_U_B	180	0.999638304	0.993116803	2481	44820	0.055354752	4.57E-04	0.003303156	0.999777479	0.993445761	17	150	PH2015_01D_Oscillatoriales_46_31	PH2017_35_SFW_U_B_Oscillatoriales_45_107	0.99060124	0.99-0.995	5368.040191	Old	2130.221482	Old	Old-Old	3113.508434	1770.943204	0.003438769	0.002162882	0.001001671	6.19E-04	0.002437098	0.00222022	0.00139087	133
PH2015_01D	PH2017_36_ELK_O_B	175	0.997202205	0.990431403	14511	55650	0.260754717	0.003371332	0.005352656	0.998006909	0.991664285	17	1590	PH2015_01D_Oscillatoriales_46_31	PH2017_36_ELK_O_B_Oscillatoriales_45_119	0.9886468	<0.99	5368.040191	Old	1387.57915	Young	Old-Young	118574.5984	63634.52188	0.003438769	0.002162882	7.31E-04	5.31E-04	0.002708168	0.002084685	0.001347129	1573
PH2015_01D	PH2017_37_MFU_D_B	176	0.996912758	0.990184287	17648	59167	0.298274376	0.002639736	0.004404887	0.997509988	0.990872396	17	531	PH2015_01D_Oscillatoriales_46_31	PH2017_37_MFU_D_B_Oscillatoriales_45_91	0.98793894	<0.99	5368.040191	Old	1435.29268	Young	Old-Young	318513.2704	50610.1435	0.003438769	0.002162882	7.06E-04	4.93E-04	0.002733089	0.002072225	0.001328154	514
PH2015_01D	PH2017_38_RDM_U_B	179	0.997965468	0.99143598	12230	53291	0.229494661	0.002049754	0.00457195	0.998343762	0.991996918	17	31	PH2015_01D_Oscillatoriales_46_31	PH2017_38_RDM_U_B_Oscillatoriales_45_76	0.98939306	<0.99	5368.040191	Old	1292.420143	Young	Old-Young	46896.44002	24229.33616	0.003438769	0.002162882	8.44E-04	6.69E-04	0.00259517	0.002141185	0.00141589	14
PH2015_01D	PH2017_39_LGB_O_B	172	0.997999069	0.991409391	12005	52142	0.230236661	0.001851075	0.003823524	0.9983796	0.992075271	17	642	PH2015_01D_Oscillatoriales_46_31	PH2017_39_LGB_O_B_Oscillatoriales_45_65	0.98915917	<0.99	5368.040191	Old	1184.528593	Young	Old-Young	30459.02828	16345.90406	0.003438769	0.002162882	7.25E-04	5.52E-04	0.002713738	0.0020819	0.001357251	625
PH2015_01D	PH2017_40_RAT_O_B	180	0.998043499	0.990183624	12528	62711	0.199773564	0.001272805	0.004194084	0.998302519	0.991121307	17	50	PH2015_01D_Oscillatoriales_46_31	PH2017_40_RAT_O_B_Oscillatoriales_45_128	0.98741084	<0.99	5368.040191	Old	2792.179699	Old	Old-Old	27521.50086	12559.05694	0.003438769	0.002162882	0.001378377	6.62E-04	0.002060393	0.002408573	0.001412284	33
PH2015_01U	PH2015_02D	175	0.996556667	0.993892133	19548	33687	0.580283195	0.002207767	0.004562819	0.997028416	0.994846281	17	527	PH2015_01U_Oscillatoriales_45_14	PH2015_02D_Oscillatoriales_45_1038	0.9808996	<0.99	516.6731982	Young	2239.453299	Old	Old-Young	26592.77876	13444.61441	0.001167197	6.64E-04	8.98E-04	5.07E-04	2.69E-04	0.001032611	5.85E-04	510
PH2015_01U	PH2015_02U	174	0.996232317	0.993158474	21307	37618	0.566404381	0.002580092	0.004034103	0.996624792	0.994039214	17	527	PH2015_01U_Oscillatoriales_45_14	PH2015_02U_Oscillatoriales_45_393	0.9814407	<0.99	516.6731982	Young	2170.429513	Old	Old-Young	26584.84718	13429.19303	0.001167197	6.64E-04	0.001078035	5.92E-04	8.92E-05	0.001122616	6.28E-04	510
PH2015_01U	PH2015_03D	174	0.996538752	0.99152397	18042	47640	0.378715365	0.003283288	0.00430596	0.99734962	0.99237674	17	39	PH2015_01U_Oscillatoriales_45_14	PH2015_03D_Oscillatoriales_45_235	0.98392653	<0.99	516.6731982	Young	4640.944964	Old	Old-Young	26716.07754	13427.32422	0.001167197	6.64E-04	0.001787846	8.70E-04	6.21E-04	0.001477522	7.67E-04	22
PH2015_01U	PH2015_03U	174	0.995972066	0.991237991	21481	48968	0.438674236	0.003325006	0.004556458	0.996582349	0.992005987	17	39	PH2015_01U_Oscillatoriales_45_14	PH2015_03U_Oscillatoriales_45_708	0.9853424	<0.99	516.6731982	Young	4365.385925	Old	Old-Young	26822.13272	13467.12833	0.001167197	6.64E-04	0.001777253	7.73E-04	6.10E-04	0.001472225	7.18E-04	22
PH2015_01U	PH2015_04D	174	0.99521295	0.991718422	25860	46097	0.560990954	0.003569548	0.004628418	0.995944394	0.992451445	17	39	PH2015_01U_Oscillatoriales_45_14	PH2015_04D_Oscillatoriales_45_965	0.9842665	<0.99	516.6731982	Young	3015.200244	Old	Old-Young	26517.06578	13350.26134	0.001167197	6.64E-04	0.001405342	5.75E-04	2.38E-04	0.00128627	6.19E-04	22
PH2015_01U	PH2015_04U	174	0.995718341	0.991526271	23052	47546	0.484835738	0.003427691	0.004571437	0.996382381	0.992315169	17	39	PH2015_01U_Oscillatoriales_45_14	PH2015_04U_Oscillatoriales_45_1042	0.9843426	<0.99	516.6731982	Young	3801.937384	Old	Old-Young	26563.96552	13343.09793	0.001167197	6.64E-04	0.001585863	6.92E-04	4.19E-04	0.00137653	6.78E-04	22
PH2015_01U	PH2015_05S	172	0.995904557	0.993889754	23264	33177	0.701208669	0.002481852	0.003851402	0.996429351	0.994829535	17	653	PH2015_01U_Oscillatoriales_45_14	PH2015_05S_Oscillatoriales_45_1152	0.9886049	<0.99	516.6731982	Young	1378.465329	Young	Young-Young	33880.86595	17616.83101	0.001167197	6.64E-04	9.32E-04	7.20E-04	2.35E-04	0.001049822	6.92E-04	636
PH2015_01U	PH2015_09S	174	0.994558963	0.992790411	30503	39364	0.774895844	0.003323105	0.003811439	0.995112151	0.993583957	17	531	PH2015_01U_Oscillatoriales_45_14	PH2015_09S_Oscillatoriales_45_247	0.9865641	<0.99	516.6731982	Young	975.7148854	Young	Young-Young	318398.8754	50481.67204	0.001167197	6.64E-04	6.61E-04	4.76E-04	5.06E-04	9.14E-04	5.70E-04	514
PH2015_01U	PH2015_10S	178	0.997291708	0.991881649	15159	46669	0.324819473	0.00215439	0.004255482	0.997722883	0.992491221	17	951	PH2015_01U_Oscillatoriales_45_14	PH2015_10S_Oscillatoriales_46_199	0.98699236	<0.99	516.6731982	Young	5247.014018	Old	Old-Young	316574.5885	48879.02462	0.001167197	6.64E-04	0.002298106	0.001123644	0.001130908	0.001732651	8.94E-04	934
PH2015_01U	PH2015_11S	179	0.996726473	0.995157354	19810	27977	0.708081638	0.001900043	0.003196916	0.997024665	0.995738093	17	96	PH2015_01U_Oscillatoriales_45_14	PH2015_11S_Oscillatoriales_45_847	0.9885448	<0.99	516.6731982	Young	960.8379139	Young	Young-Young	184914.0053	51594.83305	0.001167197	6.64E-04	5.43E-04	4.60E-04	6.24E-04	8.55E-04	5.62E-04	79
PH2015_01U	PH2015_12D	180	0.996783438	0.995429709	20134	26935	0.747503249	0.001570486	0.002501566	0.996925648	0.995659606	17	160	PH2015_01U_Oscillatoriales_45_14	PH2015_12D_Oscillatoriales_45_607	0.9883124	<0.99	516.6731982	Young	573.3665219	Young	Young-Young	177575.5112	56236.54058	0.001167197	6.64E-04	5.44E-04	5.03E-04	6.23E-04	8.56E-04	5.83E-04	143
PH2015_01U	PH2015_12U	180	0.996783128	0.995438262	20137	26816	0.750932279	0.001570404	0.002520487	0.996925648	0.995694618	17	160	PH2015_01U_Oscillatoriales_45_14	PH2015_12U_Oscillatoriales_45_315	0.988145	<0.99	516.6731982	Young	508.2295117	Young	Young-Young	177590.0816	56225.4363	0.001167197	6.64E-04	4.54E-04	4.28E-04	7.13E-04	8.10E-04	5.46E-04	143
PH2015_01U	PH2017_01_SCD_O_A	173	0.995137182	0.993222575	28409	38322	0.741323522	0.002668308	0.00362266	0.995515165	0.993802107	17	527	PH2015_01U_Oscillatoriales_45_14	PH2017_01_SCD_O_A_Oscillatoriales_45_88	0.9870332	<0.99	516.6731982	Young	1291.750009	Young	Young-Young	26591.17641	13437.28065	0.001167197	6.64E-04	9.69E-04	7.87E-04	1.98E-04	0.001068254	7.25E-04	510
PH2015_01U	PH2017_02_FOX_O_A	179	0.996539769	0.994049763	21093	35929	0.587074508	0.001994603	0.003232682	0.996920389	0.994500766	17	2.8	PH2015_01U_Oscillatoriales_45_14	PH2017_02_FOX_O_A_Oscillatoriales_45_86	0.98816735	<0.99	516.6731982	Young	2253.392084	Old	Old-Young	3167.633962	1821.065558	0.001167197	6.64E-04	0.001173989	8.13E-04	6.79E-06	0.001170593	7.38E-04	14.2
PH2015_01U	PH2017_03_ELD_O_A	180	0.999975921	0.994402084	157	33707	0.004657786	1.03E-04	0.003189624	1	0.9949744	17	17	PH2015_01U_Oscillatoriales_45_14	PH2017_03_ELD_O_A_s25_Oscillatoriales_46_20	0.9932159	0.99-0.995	516.6731982	Young	7042.034548	Old	Old-Young	30.42414242	31.6916223	0.001167197	6.64E-04	0.003333966	0.002007313	0.002166769	0.002250582	0.001335453	0
PH2015_01U	PH2017_04_SCI_O_A	180	0.99996963	0.994150176	178	35372	0.005032229	1.43E-04	0.003182159	1	0.994479933	17	114	PH2015_01U_Oscillatoriales_45_14	PH2017_04_SCI_O_A_s25_Oscillatoriales_45_22	0.98900235	<0.99	516.6731982	Young	6317.619856	Old	Old-Young	2296.566221	1274.834566	0.001167197	6.64E-04	0.003184929	0.001728745	0.002017731	0.002176063	0.001196169	97
PH2015_01U	PH2017_05_CCC_O_A	174	0.996036901	0.991755522	21161	46201	0.458020389	0.003346737	0.004596584	0.996734623	0.992598784	17	39	PH2015_01U_Oscillatoriales_45_14	PH2017_05_CCC_O_A_Oscillatoriales_45_72	0.9852848	<0.99	516.6731982	Young	4027.236384	Old	Old-Young	26495.57858	13353.63624	0.001167197	6.64E-04	0.001857712	0.001021113	6.91E-04	0.001512454	8.42E-04	22
