sample	site	species	n	mean_pi	median_pi	sd_pi	min_pi	max_pi	median_cov
PH2015_13U.species_2.pid96	PH2015_13U	species_2	4590	0.0015821862988525664	7.79340667602324e-4	0.0021993165924522385	0	0.034679218133290564	83.41413737003991
PH2015_14S.species_2.pid96	PH2015_14S	species_2	4585	0.0018395283063212763	7.880633258136037e-4	0.0026793843037649315	0	0.035799986124038674	116.61234567901235
PH2017_01_SCD_O_A.species_1.pid96	PH2017_01_SCD_O_A	species_1	5203	9.674372778700483e-4	7.854147767468732e-4	0.0010564470586135121	3.546947077041063e-4	0.019750406344731686	606.3307952622672
PH2017_02_FOX_O_A.species_1.pid96	PH2017_02_FOX_O_A	species_1	5581	0.0011720472452992456	8.111671219027673e-4	0.0012850969263004757	3.5492934990877245e-4	0.028412723770508408	596.8602693602694
PH2017_03_ELD_O_A.species_1.pid96	PH2017_03_ELD_O_A	species_1	5655	0.0033319350594453795	0.0020053828645116845	0.0034415800876783	3.520145302726707e-4	0.03402242995798588	558.9307228915661
PH2017_04_SCI_O_A.species_1.pid96	PH2017_04_SCI_O_A	species_1	5542	0.0031846605568927274	0.001728746741687548	0.003623608259397878	1.380633616793192e-4	0.033300123153588664	713.2210950080516
PH2017_05_CCC_O_A.species_1.pid96	PH2017_05_CCC_O_A	species_1	5250	0.001855144467585997	0.0010181504575020872	0.0023243554410958905	2.9018987603735e-4	0.04112806504334865	499.97519338490264
PH2017_06_SFM_O_A.species_1.pid96	PH2017_06_SFM_O_A	species_1	5555	0.0023895842177167055	0.001294348070417617	0.002783261495784212	6.238321463269969e-5	0.02806929186278695	756.8868092691623
PH2017_07_MST_O_A.species_1.pid96	PH2017_07_MST_O_A	species_1	5496	0.0031848238670257284	0.0019163563067149943	0.003439671170280115	1.828029751778093e-4	0.03372323181894088	554.3713175291809
PH2017_08_TRC_O_A.species_1.pid96	PH2017_08_TRC_O_A	species_1	5230	7.731226757292719e-4	5.477335379542869e-4	0.0012499699755181702	1.8328778883991423e-4	0.03155586679303457	994.0945153879936
PH2017_09_SFU_O_A.species_1.pid96	PH2017_09_SFU_O_A	species_1	5226	7.18037513685739e-4	5.35364367560187e-4	0.0011100536046225703	2.1479948602542984e-4	0.02602540841562495	1206.1740377283427
PH2017_10_PVI_O_A.species_3.pid96	PH2017_10_PVI_O_A	species_3	5414	8.674724193429694e-4	7.617212711908405e-4	8.723658132319322e-4	2.905745132296689e-4	0.023448380124237774	457.84347684582485
PH2017_11_PCY_U_A.species_3.pid96	PH2017_11_PCY_U_A	species_3	5414	5.897290359675381e-4	4.92206328890743e-4	8.258567939541979e-4	8.333799166559963e-5	0.027195481739380245	386.6687802034403
PH2017_12_PCY_D_A.species_3.pid96	PH2017_12_PCY_D_A	species_3	5430	6.622932399295786e-4	5.640992993004024e-4	8.355362062504345e-4	2.328256766001013e-4	0.02390244486030013	1136.9662730363214
PH2017_13_LAR_U_A.species_1.pid96	PH2017_13_LAR_U_A	species_1	5202	8.282165200609367e-4	6.380786332518262e-4	0.0011318959443360657	1.0733627805525893e-4	0.03089523646566605	723.8823102179201
PH2017_14_LAR_D_A.species_1.pid96	PH2017_14_LAR_D_A	species_1	5196	9.8441765914894e-4	8.064373167943617e-4	0.0010752077915759251	3.0368120491908185e-4	0.03134968143606942	478.30193909291586
PH2017_15_JOR_U_A.species_1.pid96	PH2017_15_JOR_U_A	species_1	5328	9.953103523772703e-4	6.139172589275654e-4	0.0016542573098053057	2.0624970046567714e-4	0.03616235632863307	617.2316145576145
PH2017_16_JOR_D_A.species_1.pid96	PH2017_16_JOR_D_A	species_1	5600	6.741556312122267e-4	5.762779663688322e-4	7.422945151820593e-4	2.508537891583451e-4	0.020849606820515176	1235.9001444399753
PH2017_17_BER_D_A.species_1.pid96	PH2017_17_BER_D_A	species_1	5553	0.0016685211484845153	7.720342004932101e-4	0.002685985764629555	1.5373812245500496e-4	0.04412531356016791	1132.7267759562842
PH2017_18_LLB_O_A.species_1.pid96	PH2017_18_LLB_O_A	species_1	5564	6.354230497869655e-4	5.039305340618361e-4	8.742499894337863e-4	1.1135293887210017e-4	0.02143136406621193	432.41011396011396
PH2017_19_SFW_U_A.species_1.pid96	PH2017_19_SFW_U_A	species_1	5581	0.0013237440195671825	7.129389171799394e-4	0.0019377016335008334	2.0631339198862173e-4	0.03723734762610453	844.5641025641024
PH2017_20_SFW_D_A.species_1.pid96	PH2017_20_SFW_D_A	species_1	5385	8.664155231124144e-4	6.716080823127023e-4	0.0013594400478826537	1.9774675369266248e-4	0.039377541319141514	432.91372549019616
PH2017_21_RUC_O_A.species_3.pid96	PH2017_21_RUC_O_A	species_3	5803	8.696254084444988e-4	8.063314125302813e-4	7.713020626536132e-4	3.4785738178333414e-4	0.03348602676181545	534.8831908831909
PH2017_22_RUC_O_B.species_3.pid96	PH2017_22_RUC_O_B	species_3	5806	7.479177506360985e-4	6.862218968555212e-4	7.681030789944643e-4	2.781511132233794e-4	0.02957545717557275	788.7298999175266
PH2017_24_DOB_U_A.species_1.pid96	PH2017_24_DOB_U_A	species_1	5605	7.14508473189234e-4	6.349271928888234e-4	7.097949896851966e-4	2.132542256457759e-4	0.021163995217795332	900.6998050682263
PH2017_25_DOB_D_A.species_1.pid96	PH2017_25_DOB_D_A	species_1	5607	0.00072579928002699265	6.432494391566124e-4	7.526801489457462e-4	2.687579740292545e-4	0.02204286189191673	976.0712468193384
PH2017_26_ELK_O_A.species_1.pid96	PH2017_26_ELK_O_A	species_1	5237	8.630453635281545e-4	6.446663628925098e-4	0.001360569236542425	1.7867872725318976e-4	0.03335085490511525	559.875816993464
PH2017_27_LUM_O_A.species_3.pid96	PH2017_27_LUM_O_A	species_3	5410	6.104027014214137e-4	5.161576397816336e-4	7.945216146631694e-4	5.473409380229999e-5	0.02015249169709388	323.24275425790756
PH2017_28_MFU_U_A.species_1.pid96	PH2017_28_MFU_U_A	species_1	5194	7.34521753133972e-4	5.359174471253336e-4	0.0012278646259570045	5.668847739292993e-5	0.032639602820078495	395.65734400246214
PH2017_29_MFU_D_A.species_1.pid96	PH2017_29_MFU_D_A	species_1	5263	9.199288237487719e-4	6.770981682671097e-4	0.0014447206497625942	2.475075902994561e-4	0.035881057260482296	1095.4545454545455
PH2017_30_WIL_O_A.species_1.pid96	PH2017_30_WIL_O_A	species_1	5229	8.740630606560504e-4	6.627836409316412e-4	0.0012593380847771662	1.9315973160760613e-4	0.03931000477414792	410.8687150837989
PH2017_31_RDM_U_A.species_1.pid96	PH2017_31_RDM_U_A	species_1	5486	9.162449163863644e-4	7.688567384711575e-4	9.077017147147146e-4	3.1411887585430787e-4	0.02342899858466974	486.5687506247665
PH2017_32_RDM_D_A.species_1.pid96	PH2017_32_RDM_D_A	species_1	5487	6.444236686652801e-4	5.03346029397278e-4	8.521128473487283e-4	1.422374967544604e-4	0.02022450547369703	593.4598765432098
PH2017_33_LGB_O_A.species_1.pid96	PH2017_33_LGB_O_A	species_1	5216	6.542725125928012e-4	4.795340888294475e-4	0.0010705046459882283	1.3930657330685214e-4	0.026176521469493785	650.8595253783795
PH2017_34_RAT_O_A.species_1.pid96	PH2017_34_RAT_O_A	species_1	5517	0.0015132950969406558	8.700498392884004e-4	0.0022117930574187747	2.9033013418611203e-4	0.03167202113530576	469.3673469387755
PH2017_35_SFW_U_B.species_1.pid96	PH2017_35_SFW_U_B	species_1	5569	0.0010013698621580804	6.188649929220746e-4	0.001686467386728921	2.347713425046028e-4	0.036845738810252326	903.9180790960452
PH2017_36_ELK_O_B.species_1.pid96	PH2017_36_ELK_O_B	species_1	5243	7.244337955263404e-4	5.313370643746929e-4	0.001123056078303219	1.9313361909656382e-4	0.02668721869546153	1009.0482456140352
PH2017_37_MFU_D_B.species_1.pid96	PH2017_37_MFU_D_B	species_1	5250	7.054306433993729e-4	4.933219013643075e-4	0.0011675052943001148	1.8598473137199092e-4	0.028484230949765155	776.344395224393
PH2017_38_RDM_U_B.species_1.pid96	PH2017_38_RDM_U_B	species_1	5495	8.434402467557119e-4	6.688981093176949e-4	0.001151835686632436	1.8559773763016096e-4	0.03646604116592145	608.9621212121212
PH2017_39_LGB_O_B.species_1.pid96	PH2017_39_LGB_O_B	species_1	5211	7.247487254215466e-4	5.516293265012129e-4	0.001065332270310328	1.6213677547594066e-4	0.02516216864952669	524.2744107744107
PH2017_40_RAT_O_B.species_1.pid96	PH2017_40_RAT_O_B	species_1	5610	0.0013779795586057143	6.61660508772921e-4	0.0024965107956150256	1.5186998579241884e-4	0.035533381307997325	1062.2593209305514
